shortname,count,notes
a342,58,Imported from A340-200
a319neo,19,Imported from A319NEO
a221,14,Imported from A220-100
a223,13,Imported from A220-300
erj172,11,Imported from ERJ 170-200
a322,9,Imported from A320-200
a321neo,7,Imported from A321-NEO
erj135er,7,Imported from ERJ 135ER
atr4232,6,Imported from ATR 42-320
a32neo,4,Imported from A320-NEO
a313f,3,Imported from A310-300F
erj192,3,Imported from ERJ 190-200
a400m,2,Imported from A400M
a3212,2,Imported from A321-200
erj145er,2,Imported from ERJ 145ER
a3192,2,Imported from A319-200
a3181,2,Imported from A318-100
ch605,1,Imported from Bombardier Challenger 605-VIP
ccx,1,Imported from Cessna Citation X-VIP
a322,1,Imported from A320-VIP
b737c,1,Imported from B737-700C
a350f,1,Imported from A350F
a321x1r,1,Imported from A321-XLR
dc910,1,Imported from DC-9-10
erj145xr,1,Imported from ERJ 145XR
